Z (nm),F (nN)
0,0
-0.011669,0.9
-0.0058346,0.45
0.3075,-1.35
0.29583,-0.45
0.5725,1.35
0.57833,0.9
0.5607,2.26
0.85666,1.8
0.86833,0.9
1.1525,1.35
1.1642,0.45
1.429,3.16
1.429,3.16
1.4467,1.8
1.7249,2.71
1.719,3.16
2.0249,2.71
2.0249,2.71
2.3032,3.61
2.2974,4.06
2.5699,5.41
2.5932,3.61
2.5815,4.51
2.8874,4.06
2.8815,4.51
3.1832,3.61
3.1949,2.71
3.1832,3.61
3.4499,5.41
3.444,5.86
3.4674,4.06
3.7382,6.31
3.7557,4.96
4.0457,4.96
4.0282,6.31
4.334,5.86
4.3399,5.41
4.3399,5.41
4.6299,5.41
4.6182,6.31
4.9257,4.96
4.9082,6.31
5.214,5.86
5.2257,4.96
5.504,5.86
5.504,5.86
5.4924,6.76
5.7882,6.31
5.753,9.02
6.0706,7.67
6.0647,8.12
6.0764,7.22
6.3547,8.12
6.3197,10.82
6.3489,8.57
6.6664,7.22
6.6664,7.22
6.933,9.02
6.9272,9.47
7.223,9.02
7.2114,9.92
7.5289,8.57
7.5289,8.57
7.523,9.02
7.778,11.72
7.7721,12.18
8.0739,11.27
8.0914,9.92
8.3914,9.92
8.368,11.72
8.368,11.72
8.6639,11.27
8.6462,12.63
8.9521,12.18
8.9404,13.08
9.2362,12.63
9.2187,13.98
9.2187,13.98
9.5087,13.98
9.5087,13.98
9.4912,15.33
9.8029,14.43
9.7971,14.88
10.093,14.43
10.075,15.78
10.371,15.33
10.365,15.78
10.636,18.04
10.654,16.69
10.642,17.59
10.938,17.14
10.932,17.59
11.226,18.04
11.22,18.49
11.51,18.49
11.51,18.49
11.487,20.29
11.783,19.84
11.765,21.19
12.083,19.84
12.053,22.1
12.071,20.74
12.343,22.1
12.355,21.19
12.633,22.1
12.628,22.55
12.639,21.65
12.916,23.45
12.91,23.9
13.218,22.55
13.218,22.55
13.519,21.65
13.502,23
13.478,24.8
13.79,23.9
13.784,24.35
14.057,25.7
14.063,25.25
14.339,27.06
14.327,27.96
14.647,25.7
14.67,23.9
14.647,25.7
14.919,27.06
14.913,27.51
15.172,30.66
15.202,28.41
15.225,26.61
15.492,28.41
15.48,29.31
15.776,28.86
15.77,29.31
15.764,29.76
16.047,31.11
16.052,30.66
16.325,32.02
16.325,32.02
16.625,32.02
16.607,33.37
16.596,34.27
16.903,32.92
16.903,32.92
17.176,34.27
17.181,33.82
17.458,35.62
17.452,36.07
17.748,35.62
17.76,34.72
17.754,35.17
18.038,35.62
18.021,36.98
18.309,37.88
18.332,36.07
18.303,38.33
18.581,39.23
18.576,39.68
18.87,40.13
18.905,37.43
18.887,38.78
19.148,41.03
19.136,41.94
19.426,41.94
19.409,43.29
19.715,42.84
19.697,44.19
19.987,44.19
19.975,45.09
19.993,43.74
20.289,43.29
20.289,43.29
20.571,44.64
20.542,46.9
20.832,46.9
20.809,48.7
20.832,46.9
21.12,47.8
21.12,47.8
21.103,49.15
21.387,49.6
21.393,49.15
21.648,51.86
21.653,51.41
21.953,51.41
21.93,53.21
21.913,54.56
22.214,53.66
22.208,54.11
22.522,52.31
22.469,56.37
22.757,57.27
22.752,57.72
23.042,57.72
23.036,58.17
23.036,58.17
23.318,59.52
23.33,58.62
23.608,59.52
23.602,59.97
23.887,60.42
23.857,62.68
24.175,61.33
24.204,59.07
24.169,61.78
24.157,62.68
24.4,66.29
24.406,65.84
24.714,64.48
24.708,64.93
24.99,66.29
24.961,68.54
25.245,68.99
25.257,68.09
25.251,68.54
25.51,71.7
25.545,68.99
25.812,70.8
25.824,69.89
26.09,71.7
26.073,73.05
26.332,76.21
26.338,75.76
26.326,76.66
26.628,75.76
26.61,77.11
26.894,77.56
26.894,77.56
27.177,78.91
27.159,80.27
27.13,82.52
27.403,83.87
27.432,81.62
27.414,82.97
27.708,83.42
27.685,85.23
27.969,85.68
27.952,87.03
28.259,85.68
28.224,88.38
28.495,90.64
28.477,91.99
28.518,88.83
28.785,90.64
28.802,89.28
29.063,91.54
29.034,93.79
29.346,92.89
29.334,93.79
29.618,94.24
29.583,96.95
29.589,96.5
29.883,96.95
29.889,96.5
29.871,97.85
30.138,99.65
30.114,101.46
30.393,102.36
30.387,102.81
30.681,103.26
30.652,105.52
30.629,107.32
30.942,105.52
30.913,107.77
31.191,108.67
31.173,110.03
31.456,111.38
31.485,109.12
31.769,109.57
31.763,110.03
32.036,111.38
32.013,113.18
31.995,114.54
32.307,113.63
32.283,115.44
32.567,115.89
32.521,119.5
32.809,120.4
32.821,119.5
32.809,120.4
33.081,121.75
33.058,123.55
33.029,125.81
33.33,124.91
33.33,124.91
33.607,126.71
33.601,127.16
33.88,128.06
33.862,129.42
34.158,128.96
34.134,130.77
34.117,132.12
34.388,134.38
34.382,134.83
34.701,132.57
34.684,133.92
34.937,137.53
34.937,137.53
35.221,137.98
35.215,138.43
35.47,141.14
35.447,142.94
35.441,143.39
35.723,144.75
35.706,146.1
35.694,147
35.99,146.55
35.949,149.71
36.233,150.16
36.239,149.71
36.533,150.16
36.492,153.31
36.475,154.67
36.788,152.86
36.776,153.77
37.047,156.02
37.035,156.92
37.314,157.82
37.267,161.43
37.539,162.78
37.545,162.33
37.551,161.88
37.804,165.49
37.775,167.74
38.071,167.29
38.077,166.84
38.349,168.19
38.326,170
38.608,171.35
38.585,173.15
38.597,172.25
38.852,174.96
38.857,174.51
38.852,174.96
39.111,178.12
39.116,177.66
39.412,177.21
39.366,180.82
39.638,182.17
39.632,182.62
39.909,184.43
39.891,185.78
40.181,185.78
40.146,188.49
40.123,190.29
40.378,193
40.378,193
40.666,193.9
40.643,195.7
40.897,198.41
40.88,199.76
41.162,201.11
41.174,200.21
41.192,198.86
41.162,201.11
41.429,202.92
41.4,205.17
41.655,207.88
41.672,206.52
41.931,209.68
41.89,212.84
42.18,212.84
42.169,213.74
42.441,215.09
42.453,214.19
42.43,215.99
42.7,218.25
42.718,216.89
42.99,218.25
42.908,224.56
43.197,225.46
43.22,223.66
43.498,224.56
43.475,226.36
43.742,228.17
43.689,232.23
43.707,230.87
44.001,231.32
43.977,233.13
43.96,234.48
44.18,239.89
44.185,239.44
44.487,238.54
44.481,238.99
44.77,239.89
44.752,241.24
45.013,243.5
44.966,247.11
44.96,247.56
45.272,246.66
45.243,248.91
45.48,252.97
45.457,254.77
45.753,254.32
45.723,256.58
45.994,258.83
45.971,260.63
46.226,263.34
46.196,265.59
46.191,266.05
46.457,267.85
46.428,270.1
46.722,270.55
46.734,269.65
46.716,271
47.012,270.55
46.948,275.51
47.219,277.77
47.254,275.06
47.52,276.87
47.485,279.57
47.473,280.47
47.752,281.38
47.717,284.08
48.005,284.98
47.976,287.24
48.242,289.04
48.225,290.39
48.503,291.3
48.491,292.2
48.756,294.9
48.739,296.26
48.657,302.57
48.964,301.22
48.976,300.31
49.214,304.37
49.208,304.82
49.554,301.22
49.455,308.88
49.438,310.24
49.728,310.24
49.722,310.69
49.987,313.39
50.022,310.69
49.952,316.1
50.195,319.7
50.218,317.9
50.473,320.61
50.438,323.31
50.732,323.76
50.656,329.62
50.952,329.17
50.964,328.27
51.207,331.88
51.16,335.49
51.201,332.33
51.46,335.49
51.454,335.94
51.448,336.39
52.033,336.84
52.056,335.04
51.814,330.53
51.797,331.88
51.785,332.78
51.571,326.92
51.618,323.31
51.341,321.51
51.365,319.7
51.046,321.96
51.016,324.21
51.081,319.25
